fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,18721020.807932377,12695370.192067623,-0.40410020973023986
2024/2025,hospitalizations,455557.0,295778.6803577395,159778.3196422605,-0.35073178469853333
2024/2025,deaths,42412.0,26807.45926644762,15604.540733552381,-0.36792749064379077
2025/2026,cases,22239254.0,21880584.03875996,358669.9612400383,-0.016127787435676673
2025/2026,hospitalizations,327633.0,322084.7972528073,5548.2027471926995,-0.016934199995652956
2025/2026,deaths,30603.0,31745.754224235825,1142.754224235825,0.03734124838082815
