fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2269467.3053204436,2138804.6946795564,-0.4851798379680453
2024/2025,hospitalizations,16,14,-2,2,71090.0,36447.297484775045,34642.702515224955,-0.487307673579092
2024/2025,deaths,16,16,0,0,5695.0,3394.9872247468024,2300.0127752531976,-0.403865280921744
2025/2026,cases,15,15,0,0,3583057.0,2374021.4869634025,1209035.5130365975,-0.3374312808968041
2025/2026,hospitalizations,16,15,-1,1,52855.0,34719.19894878637,18135.80105121363,-0.3431236600297135
2025/2026,deaths,16,16,0,0,5344.0,3117.3425115853984,2226.6574884146016,-0.4166649491014103
