fold,target,n,WIS,CRPS,coverage_50,coverage_90,calibration_gap_50,calibration_gap_90
2024/2025,cases,1924,16200.606874715659,8997.090117235928,0.28846153846153844,0.8788981288981289,0.21153846153846156,0.021101871101871117
2024/2025,hospitalizations,1924,228.2653099238023,126.94286315688426,0.3264033264033264,0.8534303534303534,0.17359667359667358,0.04656964656964657
2024/2025,deaths,1924,21.52802393072071,11.855697301695725,0.4734927234927235,0.9417879417879418,0.026507276507276523,0.04178794178794176
2025/2026,cases,1924,16844.92854633293,8283.22655128056,0.5613305613305614,0.9033264033264033,0.06133056133056136,0.0033264033264033266
2025/2026,hospitalizations,1924,223.75085203767676,110.0938069617544,0.58004158004158,0.9173596673596673,0.08004158004158002,0.01735966735966732
2025/2026,deaths,1924,17.837056167316472,9.162873651797641,0.591995841995842,0.9033264033264033,0.09199584199584199,0.0033264033264033266
