fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,18795267.423111875,12621123.576888125,-0.40173690150748775
2024/2025,hospitalizations,455557.0,295415.64922817046,160141.35077182954,-0.35152867977328417
2024/2025,deaths,42412.0,27127.640655329684,15284.359344670316,-0.3603781793905012
2025/2026,cases,22239254.0,21979973.816464573,259280.18353542686,-0.01165867270257425
2025/2026,hospitalizations,327633.0,322655.17328309687,4977.8267169031315,-0.015193300787429649
2025/2026,deaths,30603.0,31984.634851751238,1381.6348517512379,0.045147039561679925
