fold,target,n,WIS,CRPS,coverage_50,coverage_90,calibration_gap_50,calibration_gap_90
2024/2025,cases,1924,16350.595150116627,9064.470811480276,0.29573804573804574,0.8737006237006237,0.20426195426195426,0.026299376299376287
2024/2025,hospitalizations,1924,230.02192885845852,127.84017204945553,0.329002079002079,0.8492723492723493,0.170997920997921,0.05072765072765073
2024/2025,deaths,1924,21.742607069579655,11.939789816691881,0.4786902286902287,0.9360706860706861,0.021309771309771297,0.03607068607068609
2025/2026,cases,1924,16910.108391148846,8275.327444190109,0.5478170478170478,0.9038461538461539,0.047817047817047764,0.0038461538461538325
2025/2026,hospitalizations,1924,218.15628814335733,108.82662253536833,0.5675675675675675,0.9272349272349273,0.06756756756756754,0.027234927234927264
2025/2026,deaths,1924,17.333770104493304,9.046896165737515,0.5982328482328483,0.9038461538461539,0.09823284823284828,0.0038461538461538325
