fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,18721020.807932377,12695370.192067623,-0.40410020973023986
2024/2025,hospitalizations,455557.0,295778.6803577395,159778.3196422605,-0.35073178469853333
2024/2025,deaths,42412.0,26807.45926644762,15604.540733552381,-0.36792749064379077
2025/2026,cases,22239254.0,21473460.413455095,765793.5865449049,-0.034434319898719194
2025/2026,hospitalizations,327633.0,316549.48745174066,11083.512548259343,-0.03382904819790898
2025/2026,deaths,30603.0,31397.475367220322,794.4753672203224,0.025960702127058186
