fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2275668.338459818,2132603.661540182,-0.48377315681511895
2024/2025,hospitalizations,16,14,-2,2,71090.0,36412.48597227254,34677.51402772746,-0.4877973558480752
2024/2025,deaths,16,16,0,0,5695.0,3408.902237171841,2286.097762828159,-0.40142190736202576
2025/2026,cases,15,15,0,0,3583057.0,2304748.9882733575,1278308.0117266425,-0.3567646319124384
2025/2026,hospitalizations,16,15,-1,1,52855.0,33631.31406552754,19223.685934472458,-0.36370610035207174
2025/2026,deaths,16,16,0,0,5344.0,3057.5530744379494,2286.4469255620506,-0.4278530922781058
