fold,target,n,WIS,CRPS,coverage_50,coverage_90,calibration_gap_50,calibration_gap_90
2024/2025,cases,1924,16350.595150116627,9064.470811480276,0.29573804573804574,0.8737006237006237,0.20426195426195426,0.026299376299376287
2024/2025,hospitalizations,1924,230.02192885845852,127.84017204945553,0.329002079002079,0.8492723492723493,0.170997920997921,0.05072765072765073
2024/2025,deaths,1924,21.742607069579655,11.939789816691881,0.4786902286902287,0.9360706860706861,0.021309771309771297,0.03607068607068609
2025/2026,cases,1924,17078.53553469267,8342.386196437694,0.5483367983367984,0.9038461538461539,0.04833679833679838,0.0038461538461538325
2025/2026,hospitalizations,1924,219.96613619107455,109.56435055240752,0.567047817047817,0.9272349272349273,0.06704781704781704,0.027234927234927264
2025/2026,deaths,1924,17.423151740194438,9.089535056223937,0.5971933471933472,0.9038461538461539,0.09719334719334716,0.0038461538461538325
