fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2539217.7046243297,1869054.2953756703,-0.42398796974761227
2024/2025,hospitalizations,16,14,-2,2,71090.0,40629.8061515972,30460.1938484028,-0.42847367911062495
2024/2025,deaths,16,16,0,0,5695.0,3802.151924961358,1892.848075038642,-0.3323701623716017
2025/2026,cases,15,15,0,0,3583057.0,2392197.9823396583,1190859.0176603417,-0.3323583793559548
2025/2026,hospitalizations,16,15,-1,1,52855.0,35038.50883658123,17816.491163418767,-0.3370824172373793
2025/2026,deaths,16,16,0,0,5344.0,3135.9115209065267,2208.0884790934733,-0.4131902093338853
