fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,16638273.107227392,14778117.892772608,-0.4703951479586607
2024/2025,hospitalizations,455557.0,259504.3255881403,196052.6744118597,-0.4303581646455424
2024/2025,deaths,42412.0,23754.968043059365,18657.031956940635,-0.4398998386423827
2025/2026,cases,22239254.0,20998390.66167845,1240863.3383215517,-0.05579608642994482
2025/2026,hospitalizations,327633.0,308907.45043226716,18725.549567732844,-0.05715403994004172
2025/2026,deaths,30603.0,30517.57364959382,85.42635040617824,-0.0027914371271897135
