fold,target,n,WIS,CRPS,coverage_50,coverage_90,calibration_gap_50,calibration_gap_90
2024/2025,cases,1924,16379.967674853655,8940.756853133504,0.3471933471933472,0.9282744282744283,0.1528066528066528,0.028274428274428276
2024/2025,hospitalizations,1924,230.35584069497745,126.54275997426973,0.40644490644490644,0.9111226611226612,0.09355509355509356,0.011122661122661137
2024/2025,deaths,1924,21.868738878104047,11.85570357460408,0.5940748440748441,0.932952182952183,0.09407484407484412,0.03295218295218294
2025/2026,cases,1924,21625.544369917796,9890.455399921922,0.6855509355509356,0.8986486486486487,0.1855509355509356,0.0013513513513513375
2025/2026,hospitalizations,1924,267.27205378591304,120.85895752899803,0.6408523908523909,0.9168399168399168,0.14085239085239087,0.016839916839916813
2025/2026,deaths,1924,18.604045748524896,9.154978437621928,0.5821205821205822,0.9132016632016632,0.08212058212058215,0.01320166320166316
