fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2275668.338459818,2132603.661540182,-0.48377315681511895
2024/2025,hospitalizations,16,14,-2,2,71090.0,36412.48597227254,34677.51402772746,-0.4877973558480752
2024/2025,deaths,16,16,0,0,5695.0,3408.902237171841,2286.097762828159,-0.40142190736202576
2025/2026,cases,15,15,0,0,3583057.0,2376789.302327969,1206267.697672031,-0.33665880773643686
2025/2026,hospitalizations,16,15,-1,1,52855.0,34881.931639913426,17973.068360086574,-0.3400448086225812
2025/2026,deaths,16,16,0,0,5344.0,3117.9213432379174,2226.0786567620826,-0.41655663479519567
