fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,18721020.807932377,12695370.192067623,-0.40410020973023986
2024/2025,hospitalizations,455557.0,295778.6803577395,159778.3196422605,-0.35073178469853333
2024/2025,deaths,42412.0,26807.45926644762,15604.540733552381,-0.36792749064379077
2025/2026,cases,22239254.0,21993228.82049166,246025.1795083396,-0.011062654327718392
2025/2026,hospitalizations,327633.0,323909.96958912024,3723.0304108797573,-0.011363417027187107
2025/2026,deaths,30603.0,31873.01957714908,1270.0195771490799,0.041499839136933635
