configuration,MAE,RMSE,WIS,CRPS,cov_90,peak_wk_err,peak_inc_err,cum_err
full,7412.465943221988,22004.718511581126,17078.53553469267,8342.386196437694,0.9038461538461539,0,-0.3372532130852119,-0.016127787435676673
no_hws,7069.613384786849,22090.055353396743,21625.544369917796,9890.455399921922,0.8986486486486487,0,-0.3323583793559548,-0.05579608642994482
no_climate,7398.981288051032,21902.71818137969,16844.92854633293,8283.22655128056,0.9033264033264033,0,-0.3374312808968041,-0.01165867270257425
no_growth,7424.869699791478,22157.257700327547,16910.108391148846,8275.327444190109,0.9038461538461539,0,-0.3567646319124384,-0.034434319898719194
no_peak_weights,7466.3233171639895,22354.58680311846,16815.54347249806,8258.81784925799,0.9038461538461539,0,-0.385851755254649,-0.043150097611877936
no_iterative_recon,7412.465943221988,22004.718511581126,17078.53553469267,8342.386196437694,0.9038461538461539,0,-0.3372532130852119,-0.016127787435676673
baseline,7102.835664529369,22466.4788045387,21045.331918462016,9649.830919027761,0.8986486486486487,0,-0.39560681710291346,-0.09675977312559796
