configuration,MAE,RMSE,WIS,CRPS,cov_90,peak_wk_err,peak_inc_err,cum_err
full,102.87388058474457,287.0043391291668,219.96613619107455,109.56435055240752,0.9272349272349273,-1,-0.3429724395885706,-0.016934199995652956
no_hws,96.99662570201569,289.39525546295084,267.27205378591304,120.85895752899803,0.9168399168399168,-1,-0.3370824172373793,-0.05715403994004172
no_climate,102.40213660927473,285.8536414391217,223.75085203767676,110.0938069617544,0.9173596673596673,-1,-0.3431236600297135,-0.015193300787429649
no_growth,103.0826923178323,287.5972038524119,218.15628814335733,108.82662253536833,0.9272349272349273,-1,-0.36370610035207174,-0.03382904819790898
no_peak_weights,104.7818003920081,295.398448380133,217.09937328814075,108.67187478558881,0.9272349272349273,0,-0.41769843021070796,-0.06099892462901837
no_iterative_recon,102.87388058474457,287.0043391291668,219.96613619107455,109.56435055240752,0.9272349272349273,-1,-0.3429724395885706,-0.016934199995652956
baseline,98.60233221659955,296.50772081970774,258.8398982317032,118.32848431316474,0.9158004158004158,0,-0.4269916113992451,-0.11383130778892946
