configuration,MAE,RMSE,WIS,CRPS,cov_90,peak_wk_err,peak_inc_err,cum_err
full,10.536668851039385,28.431218610547827,17.423151740194438,9.089535056223937,0.9038461538461539,0,-0.4164935419010302,0.03734124838082815
no_hws,10.096987768510049,28.676232969907293,18.604045748524896,9.154978437621928,0.9132016632016632,0,-0.4131902093338853,-0.0027914371271897135
no_climate,10.538443828518238,28.21688466097528,17.837056167316472,9.162873651797641,0.9033264033264033,0,-0.4166649491014103,0.045147039561679925
no_growth,10.527012513870446,28.416607137633203,17.333770104493304,9.046896165737515,0.9038461538461539,0,-0.4278530922781058,0.025960702127058186
no_peak_weights,10.57285000686035,28.550271264526184,17.325570828825466,9.038290355401847,0.9048856548856549,0,-0.41394637696855774,0.04006944314647023
no_iterative_recon,10.536668851039385,28.431218610547827,17.423151740194438,9.089535056223937,0.9038461538461539,0,-0.4164935419010302,0.03734124838082815
baseline,10.073345120396501,28.635017825931175,18.316873464831133,9.005129521935237,0.9152806652806653,0,-0.4188935344403128,-0.008751256190210183
