configuration,cases_MAE,cases_RMSE,cases_WIS,cases_CRPS,cases_cov_90,cases_peak_wk_err,cases_peak_inc_err,cases_cum_err,hospitalizations_MAE,hospitalizations_RMSE,hospitalizations_WIS,hospitalizations_CRPS,hospitalizations_cov_90,hospitalizations_peak_wk_err,hospitalizations_peak_inc_err,hospitalizations_cum_err,deaths_MAE,deaths_RMSE,deaths_WIS,deaths_CRPS,deaths_cov_90,deaths_peak_wk_err,deaths_peak_inc_err,deaths_cum_err
full,7412.465943221988,22004.718511581126,17078.53553469267,8342.386196437694,0.9038461538461539,0,-0.3372532130852119,-0.016127787435676673,102.87388058474457,287.0043391291668,219.96613619107455,109.56435055240752,0.9272349272349273,-1,-0.3429724395885706,-0.016934199995652956,10.536668851039385,28.431218610547827,17.423151740194438,9.089535056223937,0.9038461538461539,0,-0.4164935419010302,0.03734124838082815
no_hws,7069.613384786849,22090.055353396743,21625.544369917796,9890.455399921922,0.8986486486486487,0,-0.3323583793559548,-0.05579608642994482,96.99662570201569,289.39525546295084,267.27205378591304,120.85895752899803,0.9168399168399168,-1,-0.3370824172373793,-0.05715403994004172,10.096987768510049,28.676232969907293,18.604045748524896,9.154978437621928,0.9132016632016632,0,-0.4131902093338853,-0.0027914371271897135
no_climate,7398.981288051032,21902.71818137969,16844.92854633293,8283.22655128056,0.9033264033264033,0,-0.3374312808968041,-0.01165867270257425,102.40213660927473,285.8536414391217,223.75085203767676,110.0938069617544,0.9173596673596673,-1,-0.3431236600297135,-0.015193300787429649,10.538443828518238,28.21688466097528,17.837056167316472,9.162873651797641,0.9033264033264033,0,-0.4166649491014103,0.045147039561679925
no_growth,7424.869699791478,22157.257700327547,16910.108391148846,8275.327444190109,0.9038461538461539,0,-0.3567646319124384,-0.034434319898719194,103.0826923178323,287.5972038524119,218.15628814335733,108.82662253536833,0.9272349272349273,-1,-0.36370610035207174,-0.03382904819790898,10.527012513870446,28.416607137633203,17.333770104493304,9.046896165737515,0.9038461538461539,0,-0.4278530922781058,0.025960702127058186
no_peak_weights,7466.3233171639895,22354.58680311846,16815.54347249806,8258.81784925799,0.9038461538461539,0,-0.385851755254649,-0.043150097611877936,104.7818003920081,295.398448380133,217.09937328814075,108.67187478558881,0.9272349272349273,0,-0.41769843021070796,-0.06099892462901837,10.57285000686035,28.550271264526184,17.325570828825466,9.038290355401847,0.9048856548856549,0,-0.41394637696855774,0.04006944314647023
no_iterative_recon,7412.465943221988,22004.718511581126,17078.53553469267,8342.386196437694,0.9038461538461539,0,-0.3372532130852119,-0.016127787435676673,102.87388058474457,287.0043391291668,219.96613619107455,109.56435055240752,0.9272349272349273,-1,-0.3429724395885706,-0.016934199995652956,10.536668851039385,28.431218610547827,17.423151740194438,9.089535056223937,0.9038461538461539,0,-0.4164935419010302,0.03734124838082815
baseline,7102.835664529369,22466.4788045387,21045.331918462016,9649.830919027761,0.8986486486486487,0,-0.39560681710291346,-0.09675977312559796,98.60233221659955,296.50772081970774,258.8398982317032,118.32848431316474,0.9158004158004158,0,-0.4269916113992451,-0.11383130778892946,10.073345120396501,28.635017825931175,18.316873464831133,9.005129521935237,0.9152806652806653,0,-0.4188935344403128,-0.008751256190210183
