fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2410136.9501749235,1998135.0498250765,-0.45326945565623517
2024/2025,hospitalizations,16,14,-2,2,71090.0,38878.77353481582,32211.226465184183,-0.453104887673809
2024/2025,deaths,16,16,0,0,5695.0,3609.1342364158095,2085.8657635841905,-0.3662626449899785
2025/2026,cases,15,15,0,0,3583057.0,2165575.2247312907,1417481.7752687093,-0.39560681710291346
2025/2026,hospitalizations,16,16,0,0,52855.0,30286.35837906591,22568.64162093409,-0.4269916113992451
2025/2026,deaths,16,16,0,0,5344.0,3105.4329515320746,2238.5670484679254,-0.4188935344403128
