fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,16108828.970610911,15307562.029389089,-0.48724762909236147
2024/2025,hospitalizations,455557.0,251093.44460045948,204463.55539954052,-0.44882101558990795
2024/2025,deaths,42412.0,23028.439873445583,19383.560126554417,-0.4570300887979201
2025/2026,cases,22239254.0,20087388.828477357,2151865.1715226434,-0.09675977312559796
2025/2026,hospitalizations,327633.0,290338.10713507584,37294.89286492416,-0.11383130778892946
2025/2026,deaths,30603.0,30335.185306802246,267.8146931977535,-0.008751256190210183
