fold,target,actual_cumulative,forecast_cumulative,absolute_error,relative_error
2024/2025,cases,31416391.0,18052772.41601019,13363618.58398981,-0.42537090221436913
2024/2025,hospitalizations,455557.0,285308.0163854494,170248.9836145506,-0.37371609615081514
2024/2025,deaths,42412.0,25892.96300783391,16519.03699216609,-0.3894896961184712
2025/2026,cases,22239254.0,21279628.01908461,959625.98091539,-0.043150097611877936
2025/2026,hospitalizations,327633.0,307647.7393269598,19985.260673040175,-0.06099892462901837
2025/2026,deaths,30603.0,31829.245168651498,1226.2451686514978,0.04006944314647023
