fold,target,n,WIS,CRPS,coverage_50,coverage_90,calibration_gap_50,calibration_gap_90
2024/2025,cases,1924,16317.552484884694,9080.425360670934,0.2895010395010395,0.8716216216216216,0.2104989604989605,0.02837837837837842
2024/2025,hospitalizations,1924,229.49262175287012,128.02680783706515,0.32224532224532226,0.8482328482328483,0.17775467775467774,0.05176715176715174
2024/2025,deaths,1924,21.844711139043948,12.007919221530278,0.47505197505197505,0.933991683991684,0.02494802494802495,0.03399168399168395
2025/2026,cases,1924,16815.54347249806,8258.81784925799,0.5488565488565489,0.9038461538461539,0.04885654885654889,0.0038461538461538325
2025/2026,hospitalizations,1924,217.09937328814075,108.67187478558881,0.5654885654885655,0.9272349272349273,0.06548856548856552,0.027234927234927264
2025/2026,deaths,1924,17.325570828825466,9.038290355401847,0.5971933471933472,0.9048856548856549,0.09719334719334716,0.004885654885654844
