fold,target,actual_peak_week,forecast_peak_week,peak_week_error,absolute_peak_week_error,actual_peak_incidence,forecast_peak_incidence,peak_incidence_absolute_error,peak_incidence_relative_error
2024/2025,cases,16,16,0,0,4408272.0,2091941.11976089,2316330.88023911,-0.5254509885593684
2024/2025,hospitalizations,16,14,-2,2,71090.0,33766.032020238665,37323.967979761335,-0.5250241662573684
2024/2025,deaths,16,16,0,0,5695.0,3134.3724694598454,2560.6275305401546,-0.4496273099368792
2025/2026,cases,15,15,0,0,3583057.0,2200528.1673721573,1382528.8326278427,-0.385851755254649
2025/2026,hospitalizations,16,16,0,0,52855.0,30777.549470795333,22077.450529204667,-0.41769843021070796
2025/2026,deaths,16,16,0,0,5344.0,3131.870561066081,2212.129438933919,-0.41394637696855774
